,sku,reference_interne_magasin,name,status,on_selection,unite_prix,prix_public,short_description,poids_portion,nbre_portion,price,prix_kilo_site,tax_class_id,marge_arriere,cost,image,small_image,thumbnail,_product_websites,commercant,,,produit_de_saison,,categories,Maturité (choisir une option):drop_down:1,,saisonnalite,origine,lien_producteur,origine,labels_produits,produit_biologique,description,suggestion_utilisation,conseil_commercant,poids_par_pers,weight,notes_com,meta_title,meta_description,us_skus,re_skus,cs_skus
,MPB17-PEP-1143,28,Poire Guyot,0,,kg,2.95 €,Les 500g,0.500,1,1.48 €,2.95 €/kg,5,0.20,1.12 €,Poires-guyot-28.jpg,Poires-guyot-28.jpg,Poires-guyot-28.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les fruits,Pommes & Poires,Oui,Mon Primeur/Pascal Bassard Primeur/Tous les fruits,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les fruits/Pommes & Poires;;Mon Primeur/Pascal Bassard Primeur/Produits de saison,,789,,,,France,,Non,,,,,0.500,,Poire Guyot - Au Pas De Courses,Poire Guyot - Pascal Bassard Primeur - Les 500g - ,,re::^MPB17-PEP,
,MPB17-PEP-1035,29,Pomme Chantecler,0,,kg,3.95 €,"Les 500g, environ 2 pièces",0.500,1,1.98 €,3.95 €/kg,5,0.20,1.50 €,PBP17-chanteclerc.jpg,PBP17-chanteclerc.jpg,PBP17-chanteclerc.jpg,petitcommis_batignolles,Pomme de Terre ,Tous les fruits,Pommes & Poires,Non,Mon Primeur/Pascal Bassard Primeur/Tous les fruits,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les fruits/Pommes & Poires,,123456OND,,,,France,,Non,"Sa chair fine et fondante dégage une saveur à la fois sucrée et acidulée, très aromatique.Elle a une forme légèrement aplatie et une robe très caractéristique, jaune or, un peu rugueuse et parsemée de lenticelles qui lui donne un aspect rustique.On la déguste d’octobre à juin.",,,,0.500,,Pomme Chantecler - Au Pas De Courses,"Pomme Chantecler - Pomme de Terre  - Les 500g, environ 2 pièces - Sa chair fine et fondante dégage une saveur à la fois sucrée et acidulée, très aromatique.Elle",,re::^MPB17-PEP,
,MPB17-RAI-1140,30,Raisin Noir Red Globe,0,,kg,7.95 €,Le kilo,1.000,1,7.95 €,7.95 €/kg,5,0.20,6.03 €,raisinredglobe.jpg,raisinredglobe.jpg,raisinredglobe.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les fruits,Raisin,Oui,Mon Primeur/Pascal Bassard Primeur/Tous les fruits,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les fruits/Raisin;;Mon Primeur/Pascal Bassard Primeur/Produits de saison,,123456789OND,,,,,,Non,,,,,1.000,,Raisin Noir Red Globe - Au Pas De Courses,Raisin Noir Red Globe - Pascal Bassard Primeur - Le kilo - ,,,
,MPB17-SAL-1060,31,Endive de terre,0,,kg,4.95 €,"Le kilo, 9 endives environ",1.000,1,4.95 €,4.95 €/kg,5,0.20,3.75 €,endiveterre.jpg,endiveterre.jpg,endiveterre.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les légumes,Salade,Non,Mon Primeur/Pascal Bassard Primeur/Tous les légumes,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les légumes/Salade,,123ND,,,,,,Non,"A la différence de l'endive de sable, l'endive de terre se cultive dans ... la terre! Beaucoup moins commune que sa camarade, l'endive de terre est cultivée de manière traditionnelle en pleine terre pour assurer une qualité supérieure.",,,,1.000,,Endive de terre - Au Pas De Courses,"Endive de terre - Pascal Bassard Primeur - Le kilo, 9 endives environ - A la différence de l'endive de sable, l'endive de terre se cultive dans ... la terre! Be",,re::^MPB17-SAL,
,MPB17-AFR-1133,33,Abricot,0,,kg,6.95 €,Les 500g,0.500,1,3.48 €,6.95 €/kg,5,0.20,2.64 €,PBP17-abricot.jpg,PBP17-abricot.jpg,PBP17-abricot.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les fruits,Autres fruits,Non,Mon Primeur/Pascal Bassard Primeur/Tous les fruits,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les fruits/Autres fruits,,78,,,,France,,Non,"Fruit charnu, ce joli fruit d'été de forme arrondie a la chair sucrée et ferme. Sa couleur orangée vient de sa haute teneur en carotène et en provitamine A. La couleur rouge de sa peau veloutée n’est pas gage de maturité: le degré de maturité est apprécié par le parfum et la souplesse du fruit.",,,,0.500,,Abricot - Au Pas De Courses,"Abricot - Pascal Bassard Primeur - Les 500g - Fruit charnu, ce joli fruit d'été de forme arrondie a la chair sucrée et ferme. Sa couleur orangée vient de sa hau",,,
,MPB17-PEP-1073,37,Pomme Granny Smith,0,,kg,2.95 €,Le kilo,1.000,1,2.95 €,2.95 €/kg,5,0.20,2.24 €,grannysmith.jpg,grannysmith.jpg,grannysmith.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les fruits,Pommes & Poires,Non,Mon Primeur/Pascal Bassard Primeur/Tous les fruits,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les fruits/Pommes & Poires,,123OND,,,,,,Non,"La Granny Smith est un cultivar de pomme très populaire apparu en Australie en 1868 suite à un « semis chanceux » réalisé par une vieille dame, Marie Ana Smith (granny signifie « grand-mère »). En France, c'est la troisième pomme la plus cultivée",,,,1.000,,Pomme Granny Smith - Au Pas De Courses,Pomme Granny Smith - Pascal Bassard Primeur - Le kilo - La Granny Smith est un cultivar de pomme très populaire apparu en Australie en 1868 suite à un « semis c,,re::^MPB17-PEP,
,MPB17-PEP-1058,38,Pomme Elstar promo,0,,kg,1.49 €,Le kilo,1.000,,0.00 €,#DIV/0!,5,0.20,0.00 €,,,,petitcommis_batignolles,Pascal Bassard Primeur,Tous les fruits,Pommes & Poires,Oui,Mon Primeur/Pascal Bassard Primeur/Tous les fruits,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les fruits/Pommes & Poires;;Mon Primeur/Pascal Bassard Primeur/Produits de saison,,12389OND,,,,,,Non,,,,,0.000,,Pomme Elstar promo - Au Pas De Courses,Pomme Elstar promo - Pascal Bassard Primeur - Le kilo - ,,,
,MPB17-LRA-1032,46,Céleri rave,0,,piece,1.95 €,La pièce d'environ 1kg,1.000,1,1.95 €,1.95 €/piece,5,0.20,1.48 €,celerirave.jpg,celerirave.jpg,celerirave.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les légumes,Légumes Racines,Oui,Mon Primeur/Pascal Bassard Primeur/Tous les légumes,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les légumes/Légumes Racines;;Mon Primeur/Pascal Bassard Primeur/Produits de saison,,123456789OND,,,,,,Non,"Connu depuis l’Antiquité, cultivé dès le 16e siècle, le céleri-rave a fait progressivement son entrée dans les cuisines. Ce légume rustique s’est développé et a imposé sa présence sur les étals grâce à sa chair savoureuse, croquante quand elle est crue, fondante après cuisson. Ce beau céleri tout en rondeur est très concentré en vitamines et minéraux essentiels, tout en étant très peu énergétique. Invitez-le régulièrement dans vos assiettes pour savourer tous les bienfaits de sa chair délicate.",,,,1.000,,Céleri rave - Au Pas De Courses,"Céleri rave - Pascal Bassard Primeur - La pièce d'environ 1kg - Connu depuis l’Antiquité, cultivé dès le 16e siècle, le céleri-rave a fait progressivement son e",,,
,MPB17-CHO-1037,47,Chou blanc,0,,kg,1.95 €,"La pièce d'environ 1,4kg",1.400,1,2.73 €,1.95 €/kg,5,0.20,2.07 €,choublanc.jpg,choublanc.jpg,choublanc.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les légumes,Choux,Oui,Mon Primeur/Pascal Bassard Primeur/Tous les légumes,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les légumes/Choux;;Mon Primeur/Pascal Bassard Primeur/Produits de saison,,123456789OND,,,,,,Non,,,,,1.400,,Chou blanc - Au Pas De Courses,"Chou blanc - Pascal Bassard Primeur - La pièce d'environ 1,4kg - ",,,
,MPB17-CHO-1039,47,Chou rouge,0,,kg,1.95 €,La pièce d'environ 1 kg,1.000,1,1.95 €,1.95 €/kg,5,0.20,1.48 €,chourougeprimeur.jpg,chourougeprimeur.jpg,chourougeprimeur.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les légumes,Choux,Oui,Mon Primeur/Pascal Bassard Primeur/Tous les légumes,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les légumes/Choux;;Mon Primeur/Pascal Bassard Primeur/Produits de saison,,123456789OND,,,,,,Non,"Le chou rouge (Brassica oleracea var. capitata f. rubra1) est une forme de chou cabus - la plupart du temps de couleur pourpre - aux propriétés culinaires et chimiques diverses.
Le coeur d'un chou rouge coupé en deux. La couleur de ses feuilles peut varier selon l'acidité du sol en raison des propriétés acido-basiques de molécules de la famille des anthocyanes entrant dans les composants du chou rouge. Cultivé sur des sols acides, le chou rouge prend une teinte plutôt rougeâtre alors que sur des terres basiques, le chou rouge est parfois bleuté. Cette propriété est exploitée pour faire du jus de chou rouge un indicateur coloré naturel de pH. Cuisiné, le chou rouge tournera normalement au bleu. Pour maintenir une couleur rouge, on peut l'arroser de vinaigre ou le cuire avec des fruits au jus naturellement acide.",,,,1.000,,Chou rouge - Au Pas De Courses,Chou rouge - Pascal Bassard Primeur - La pièce d'environ 1 kg - Le chou rouge (Brassica oleracea var. capitata f. rubra1) est une forme de chou cabus - la plupa,,,
,MPB17-AUL-1052,62,Petit Pois,0,,kg,5.95 €,les 500g,0.500,1,2.98 €,5.95 €/kg,5,0.20,2.26 €,barquettepetitpois.jpg,barquettepetitpois.jpg,barquettepetitpois.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les légumes,Autres Légumes,Non,Mon Primeur/Pascal Bassard Primeur/Tous les légumes,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les légumes/Autres Légumes,,67,,,,France,,Non,,,,,0.500,,Petit Pois - Au Pas De Courses,Petit Pois - Pascal Bassard Primeur - les 500g - ,,,
,MPB17-PDT-1068,64,Pomme de Terre Galante,0,,kg,2.20 €,Les 500g,0.500,1,1.10 €,2.2 €/kg,5,0.20,0.83 €,pdtgalante.jpg,pdtgalante.jpg,pdtgalante.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les légumes,Pommes de Terre,Oui,Mon Primeur/Pascal Bassard Primeur/Tous les légumes,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les légumes/Pommes de Terre;;Mon Primeur/Pascal Bassard Primeur/Produits de saison,,123456789OND,,,,France,,Non,,"En salade, en chemise, rissolée, cuite à l’eau
Tenue à la cuisson : Chair ferme",,,0.500,,Pomme de Terre Galante - Au Pas De Courses,Pomme de Terre Galante - Pascal Bassard Primeur - Les 500g - ,,re::^MPB17-PDT,
,MPB17-PDT-1022,67,Pomme de Terre Noirmoutier,0,,kg,12.95 €,Le kilo,1.000,1,12.95 €,12.95 €/kg,5,0.20,9.82 €,,,,petitcommis_batignolles,Pascal Bassard Primeur,Tous les légumes,Pommes de Terre,Non,Mon Primeur/Pascal Bassard Primeur/Tous les légumes,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les légumes/Pommes de Terre,,5678,,,,,,Non,,,,,1.000,,Pomme de Terre Noirmoutier - Au Pas De Courses,Pomme de Terre Noirmoutier - Pascal Bassard Primeur - Le kilo - ,,,
,MPB17-SAL-1147,72,Salade Rougette,0,,piece,1.50 €,La pièce,,1,1.50 €,1.5 €/piece,5,0.20,1.14 €,rougette.jpg,rougette.jpg,rougette.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les légumes,Salade,Non,Mon Primeur/Pascal Bassard Primeur/Tous les légumes,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les légumes/Salade,,345,,,,France,,Non,,,"Je choisis les salades bien fraiches avec des feuilles fermes, une belle couleur franche et un pied bien clair.",,0.000,,Salade Rougette - Au Pas De Courses,Salade Rougette - Pascal Bassard Primeur - La pièce - ,,re::^MPB17-SAL,
,MPB17-OAE-1110,75,Oignon jaune,0,,sac,1.00 €,Le sac de 1 kilo,1.000,1,1.00 €,1 €/sac,5,0.20,0.76 €,oignon.jpg,oignon.jpg,oignon.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les légumes,"Oignons, Ails & Echalottes",Oui,Mon Primeur/Pascal Bassard Primeur/Tous les légumes,"Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les légumes/Oignons, Ails & Echalottes;;Mon Primeur/Pascal Bassard Primeur/Produits de saison",,123456789OND,,,,,,Non,"On ne présente plus l’oignon ! Cru, il dégage un arôme puissant et des saveurs marquées que la cuisson adoucit. S’invitant dans un nombre impressionnant de préparations, il se prête avec autant de réussite aux plats les plus rustiques (flamiche, gratinée…) qu’aux mets les plus sophistiqués (foie gras poêlé, magret de canard…). Ce bulbe, organe de réserves nutritives pour la plante et sa fleur, présente aussi des qualités nutritionnelles qui vous invitent à conjuguer bien-être et plaisir de la table",,,,1.000,,Oignon jaune - Au Pas De Courses,"Oignon jaune - Pascal Bassard Primeur - Le sac de 1 kilo - On ne présente plus l’oignon ! Cru, il dégage un arôme puissant et des saveurs marquées que la cuisso",,re::^MPB17-OAE,
,MPB17-ARO-1091,77,Basilic en pot,0,,piece,3.95 €,La pièce,,1,3.95 €,3.95 €/piece,5,0.20,3.00 €,,,,petitcommis_batignolles,Pascal Bassard Primeur,Aromates,,Non,Mon Primeur/Pascal Bassard Primeur/Aromates,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Aromates,,,,,,,,Non,,,,,0.000,,Basilic en pot - Au Pas De Courses,Basilic en pot - Pascal Bassard Primeur - La pièce - ,,,
,MPB17-TOM-1155,92,Tomates Costoluto / Marinda,0,,kg,9.95 €,Le kilo,1.000,1,9.95 €,9.95 €/kg,5,0.20,7.55 €,costoluto.jpg,costoluto.jpg,costoluto.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les légumes,Tomates,Oui,Mon Primeur/Pascal Bassard Primeur/Tous les légumes,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les légumes/Tomates;;Mon Primeur/Pascal Bassard Primeur/Produits de saison,,56789,,,,,,Non,,,,,1.000,,Tomates Costoluto / Marinda - Au Pas De Courses,Tomates Costoluto / Marinda - Pascal Bassard Primeur - Le kilo - ,,re::^MPB17-TOM,
,MPB17-AUL-1070,108,Fêve,0,,kg,3.95 €,Les 250g,0.25,1,0.99 €,3.95 €/kg,5,0.20,0.75 €,PBP17-feves.jpg,PBP17-feves.jpg,PBP17-feves.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les légumes,Autres Légumes,Oui,Mon Primeur/Pascal Bassard Primeur/Tous les légumes,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les légumes/Autres Légumes;;Mon Primeur/Pascal Bassard Primeur/Produits de saison,,789,,,,,,Non,,,,,0.250,,Fêve - Au Pas De Courses,Fêve - Pascal Bassard Primeur - Les 250g - ,,,
,MPB17-PEP-1020,111,Belle de Boskoop,0,,kg,2.95 €,Le kilo,1.000,1,2.95 €,2.95 €/kg,5,0.20,2.24 €,belleboskoop.jpg,belleboskoop.jpg,belleboskoop.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les fruits,Pommes & Poires,Non,Mon Primeur/Pascal Bassard Primeur/Tous les fruits,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les fruits/Pommes & Poires,,12ND,,,,,,Non,"La belle de Boskoop est une variété de pomme qui, comme son nom l'indique, est originaire de Boskoop aux Pays-Bas où elle naquit en 1856. Synonymes : Reinette de Montfort, Goldreinette, Reinette de Montreuse. Il en existe de nombreuses variantes : Boskoop rouge, jaune ou verte.",,,,1.000,,Belle de Boskoop - Au Pas De Courses,"Belle de Boskoop - Pascal Bassard Primeur - Le kilo - La belle de Boskoop est une variété de pomme qui, comme son nom l'indique, est originaire de Boskoop aux P",,,
,MPB17-PEP-1127,112,Poire Conference,0,,kg,1.95 €,Le kilo,1.000,1,1.95 €,1.95 €/kg,5,0.20,1.48 €,conference.jpg,conference.jpg,conference.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les fruits,Pommes & Poires,Non,Mon Primeur/Pascal Bassard Primeur/Tous les fruits,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les fruits/Pommes & Poires,,1234OND,,,,,,Non,,,,,1.000,,Poire Conference - Au Pas De Courses,Poire Conference - Pascal Bassard Primeur - Le kilo - ,,,
,MPB17-FEX-1007,118,Ananas Victoria reunion,0,,kg,8.95 €,La pièce d'environ 800g,0.800,1,7.16 €,8.95 €/kg,5,0.20,5.43 €,ananas.jpg,ananas.jpg,ananas.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les fruits,Fruits exotiques,Non,Mon Primeur/Pascal Bassard Primeur/Tous les fruits,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les fruits/Fruits exotiques,,1234OND,,,,,,Non,"Fruit exotique, l’ananas a longtemps été considéré comme un bien rare et précieux. On le trouve aujourd’hui facilement sur les étals toute l’année. Sa richesse en vitamines participe à votre tonus au quotidien.",,,,0.800,,Ananas Victoria reunion - Au Pas De Courses,"Ananas Victoria reunion - Pascal Bassard Primeur - La pièce d'environ 800g - Fruit exotique, l’ananas a longtemps été considéré comme un bien rare et précieux. ",,,
