,sku,reference_interne_magasin,name,status,on_selection,unite_prix,prix_public,short_description,poids_portion,nbre_portion,price,prix_kilo_site,tax_class_id,marge_arriere,cost,image,small_image,thumbnail,_product_websites,commercant,,,categories,saisonnalite,producteur,lien_producteur,origine,labels_produits,produit_biologique,description,suggestion_utilisation,conseil_commercant,poids_par_pers,weight,notes_com,us_skus,re_skus,cs_skus,magmi_delete,
,FDB17-BRE-1120,221,Brebis Artisanal Haute Pyrénées,0,,kg,32.00 €,1 portion de 200g environ,0.200,1,6.40 €,32 €/kg,5,0.20,4.85 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Brebis,,Mon Fromager/Les Fromages des Batignolles/Brebis;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,Haute Pyrénées,,Non,,,,,0.200,,,,,
,FDB17-BRE-1125,,Brin d'amour au lait cru de brebis,0,,kg,24.00 €,,,,0.00 €,#DIV/0!,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Brebis,,Mon Fromager/Les Fromages des Batignolles/Brebis;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,29% de matière grasse,,,,0.000,,,,,
,FDB17-BRE-1128,217,Brousse de Brebis,0,,piece,8.50 €,,,,0.00 €,8.5 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Brebis,,Mon Fromager/Les Fromages des Batignolles/Brebis;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
x,FDB17-CRE-1005,92,Beurre Cru de Baratte Sel Croquant de l'Ile de Ré – 250g,Activé,1,piece,3.20 €,1 beurre de 250 g environ,0.250,1,3.20 €,3.2 €/piece,5,0.20,2.43 €,beurre.jpg,beurre.jpg,beurre.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Crémerie,,Mon Fromager/Les Fromages des Batignolles/Crémerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,France,,Non,"Tous les beurres sont issus de la crème, mais seul le beurre cru est fabriqué à partir de crème crue, non pasteurisée.  Le beurre doux est obtenu simplement après barattage de la crème. Pour le beurre salé ou demi-sel, il est ensuite mélangé à une proportion précise de sel. Ainsi, le beurre salé contient 3% de sel, alors que le beurre demi-sel doit comprendre entre 0,5 et 3% de sel. S’il est généralement salé au sel fin, on peut aussi saler le beurre avec des cristaux de sel, afin de lui donner un peu de croquant. Le sel servait avant avant à mieux conserver le beurre. Certains fabricants, soucieux de certifier la qualité de leur beurre, précisent sur l’emballage s’il s’agit d’un beurre dit « de baratte », c'est à dire qu'il a été fabriqué dans une baratte traditionnelle.","Le beurre est fragile, consommer le rapidement et conserver le au frais.",,,0.250,Dispo lors du relevé,,"re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::DB17-CRE",,
x,FDB17-VAC-1065,117,Stilton au lait pasteurisé de vache,Activé,1,kg,29.80 €,1 portion de 200g environ,0.200,1,5.96 €,29.8 €/kg,5,0.20,4.52 €,stilton.jpg,stilton.jpg,stilton.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Vache,,Mon Fromager/Les Fromages des Batignolles/Vache;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,France,AOP,Non,"Le Blue Stilton est protégé sous Appellation d'Origine Protégée en Angleterre. Il est produit dans les comtés de Derbyshire, Leicestershire, et Nottinghamshire. Pour la petite histoire, il est aujourd'hui illégal de produire un fromage au nom de Stilton dans le village de Stilton, le village se trouvant aujourd'hui dans le Cambridgeshire.
Connu depuis longtemps sous le nom ""Roi des Fromages"", le Stilton bleu est l'un des rares fromages britanniques à avoir reçu le label AOP de la Commission européenne. Sept fromageries seulement sont habilitées à fabriquer du Stilton.",,,,0.200,,"FDB17-VAC-1003,FDB17-VAC-1016,FDB17-VAC-1402,FDB17-VAC-1234","re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::^FDB17-VAC",,
,FDB17-BRE-1258,38,"Le rondin, fromage brebis pasteurisé",0,,kg,22.00 €,1 portion,,0.1,0.00 €,#DIV/0!,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Brebis,,Mon Fromager/Les Fromages des Batignolles/Brebis;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
x,FDB17-VAC-1014,57,Comté AOP 18/24 mois d'affinage au lait cru,Activé,1,kg,28.80 €,1 portion de 200g environ,0.200,1,5.76 €,28.8 €/kg,5,0.20,4.37 €,FRB17_Comte_24mois.jpg,FRB17_Comte_24mois.jpg,FRB17_Comte_24mois.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Vache,,Mon Fromager/Les Fromages des Batignolles/Vache;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,France Franche Comté,AOP,Non,"45% de matière grasse<br><br>Le fromage Comté est un fromage au lait cru de vache de la famille des gruyères. Il est fabriqué de manière artisanale, à partir de lait cru de vaches de race Montbéliarde ou Simmentale française. Les vaches sont nourries exclusivement à partir d'herbe et de foin.  La variabilité de la durée d'affinage du fromage Comté fait qu'à tout moment sur le marché il est possible de se procurer des Comtés de saisons différentes.",," Les Comté d'été présentent des arômes plus diversifiés et fruités, les Comtés d'hiver (pâte claire) se caractérisent par des nuances ""noisette"", végétales ou torréfiées plus marquées. ",,0.200,,"FDB17-VAC-1003,FDB17-VAC-1016,FDB17-VAC-1402,FDB17-VAC-1234","re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::^FDB17-VAC",,
,FDB17-BRE-1312,215,Pavé de Brebis,0,,piece,3.30 €,,,,0.00 €,3.3 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Brebis,,Mon Fromager/Les Fromages des Batignolles/Brebis;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
,FDB17-BRE-1317,43,Perail de Brebis,0,,piece,4.10 €,,,,0.00 €,4.1 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Brebis,,Mon Fromager/Les Fromages des Batignolles/Brebis;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
x,FDB17-VAC-1052,2,Munster fermier au lait cru de vache,Activé,1,kg,23.80 €,1 portion de 200g environ,0.200,1,4.76 €,23.8 €/kg,5,0.20,3.61 €,munster.jpg,munster.jpg,munster.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Vache,,Mon Fromager/Les Fromages des Batignolles/Vache;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,France Alsace,AOP,Non,"26% de matière grasse<br><br>Le nom « Munster » est une déformation linguistique du mot ‘Monastère’, - ‘Monstère’- ‘Munstère’. Le fromage alsacien  Munster est souvent consommé avec  du cumin ou de carvi. Le fromage Munster est souvent consommé avec des pommes de terre chaudes plutôt qu'avec du pain. En Haute-Alsace, dans le Jura Alsacien, il se consomme en salade.",,,,0.200,,"FDB17-VAC-1003,FDB17-VAC-1016,FDB17-VAC-1402,FDB17-VAC-1234","re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::^FDB17-VAC",,
x,FDB17-VAC-1007,1,Brie de Meaux au lait cru de vache,Activé,1,kg,19.90 €,1 portion de 200g environ,0.200,1,3.98 €,19.9 €/kg,5,0.20,3.02 €,briemeaux.jpg,briemeaux.jpg,briemeaux.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Vache,,Mon Fromager/Les Fromages des Batignolles/Vache;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,France Ile de France,AOP,Non,"25% de matière grasse<br><br>Le fromage Brie de Meaux est un fromage de grand moule atteignant 35 cm de diamètre. Connu depuis le Moyen Age, apprécié de nombreux rois de France, le fromage Brie connut son heure de gloire lors du congrès de Vienne en 1815. A l'occasion d'un banquet réunissant tous les plénipotentiaires, chacun  d'eux se fit servir son fromage préféré. C'est le fromage Brie de Meaux, qui, par la voix du chancelier d'Autriche, fut consacré ""Prince des fromages"". ",,"Pour le déguster, il faut prévoir de le laisser à température ambiante 1/2 heure à 1 heure avant sa consommation. A conserver au frais dans l'emballage d'origine.",,0.200,,"FDB17-VAC-1003,FDB17-VAC-1016,FDB17-VAC-1402,FDB17-VAC-1234","re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::^FDB17-VAC",,
,FDB17-CHA-1085,1,Antipastis,0,,kg,27.00 €,,,,0.00 €,#DIV/0!,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Charcuterie,,Mon Fromager/Les Fromages des Batignolles/Charcuterie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
,FDB17-CHA-1291,,Bocconcino,0,,kg,35.00 €,,,,0.00 €,#DIV/0!,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Charcuterie,,Mon Fromager/Les Fromages des Batignolles/Charcuterie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
,FDB17-CHA-1121,8,Bresaola,0,,kg,55.00 €,?,,,0.00 €,#DIV/0!,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Charcuterie,,Mon Fromager/Les Fromages des Batignolles/Charcuterie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
x,FDB17-VAC-1224,32,"Gouda au Cumin fermier, au lait pasteurisé de vache",Activé,1,kg,13.50 €,1 portion de 200g environ,0.200,1,2.70 €,13.5 €/kg,5,0.20,2.05 €,goudacumin.jpg,goudacumin.jpg,goudacumin.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Vache,,Mon Fromager/Les Fromages des Batignolles/Vache;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,Hollande,,Non,30% de matière grasse,,,,0.200,,"FDB17-VAC-1003,FDB17-VAC-1016,FDB17-VAC-1402,FDB17-VAC-1234","re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::^FDB17-VAC",,
x,FDB17-VAC-1048,36,Mimolette jeune Tendre au lait pasteurisée de vache,Activé,1,kg,12.50 €,1 portion de 200g environ,0.200,1,2.50 €,12.5 €/kg,5,0.20,1.90 €,mimolette.jpg,mimolette.jpg,mimolette.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Vache,,Mon Fromager/Les Fromages des Batignolles/Vache;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,France,,Non,"24% de matière grasse<br><br>Fromage préféré du Général De Gaulle, la Mimolette (longtemps appelée Boule de Lille) est un fromage au lait de vache pasteurisé à pâte dure. La production de la Mimolette est mise en œuvre en Normandie et dans la Meuse. C’est la coloration de pâte au carotène (autrefois au rocou) qui lui donne sa couleur orangée.
Seul l’affinage, de 6 semaines à 2 ans est encore effectué à température ambiante dans les caves naturelles de briques rouges du Nord-Pas-de-Calais, sur des étagères en bois de sapin.","La mimolette, aussi appelée « vieux Hollande »1 ou « boule de Lille », est un fromage traditionnellement produit dans le nord de la France d'où elle est originaire, dans la région de Lille. C'est un fromage à base de lait de vache, à pâte pressée non cuite.",,,0.200,Dispo lors du relevé,"FDB17-VAC-1003,FDB17-VAC-1016,FDB17-VAC-1402,FDB17-VAC-1234","re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::^FDB17-VAC",,
x,FDB17-VAC-1010,23,Camembert Extra de Normandie au lait cru de vache,Activé,1,piece,5.60 €,1 fromage de 250g environ,0.250,1,5.60 €,5.6 €/piece,5,0.20,4.25 €,camembert.jpg,camembert.jpg,camembert.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Vache,,Mon Fromager/Les Fromages des Batignolles/Vache;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,France Normandie,,Non,"24% de matière grasse<br><br>Le CAMEMBERT a été mis au point en 1791 par une fermière de Camembert Marie HAREL avec les conseils d'un prêtre réfractaire. En 1890, l'ingénieur RIDEL eut l'idée de l'emballer dans une boîte en bois, ce qui permis au fromage de voyager facilement et contribua ainsi à sa large diffusion. En l'absence de protection particulière, sa fabrication échappe à la Normandie et il est imité en France et à l'étranger. Depuis 1983, le Camembert de Normandie au lait cru et moulé à la louche bénéficie de l'AOC (Appellation d'Origine Contrôlée).","Contrairement à ce que l'on croit, la majorité des fromages s'accorde mieux avec un vin blanc. Il faut d'ailleurs mieux éviter de servir une grande bouteille avec le Camembert. Préférez un vin fruité comme un Gewürtraminer ou un Bordeaux pour les blancs, un vin faiblement tannique comme un Chinon ou un Saint Nicolas de Bourgueil pour les rouges voire un cidre brut de Normandie. L'accord des terroirs est de rigueur !","Le camembert se conserve bien dans le bas du réfrigérateur, à l'envers, éventuellement enveloppé dans un linge humide. Sortez-le au moins 1 heure avant d'être servi.",,0.250,,"FDB17-VAC-1003,FDB17-VAC-1016,FDB17-VAC-1402,FDB17-VAC-1234","re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::^FDB17-VAC",,
x,FDB17-YAO-1074,155,Yaourt Bordier Nature,Activé,1,piece,1.15 €,1 pot de 125g,0.125,1,1.15 €,1.15 €/piece,5,0.20,0.87 €,yaourtbordier.jpg,yaourtbordier.jpg,yaourtbordier.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Yaourts,,Mon Fromager/Les Fromages des Batignolles/Yaourts;;Mon Fromager/Les Fromages des Batignolles/Tous,,,Bordier,http://www.lebeurrebordier.com/collection/cremerie/,France,,Non,"Le yaourt Bordier est réalisé par un fermier du Morbihan à partir du lait entier de ses vaches. Ce lait donne de la douceur et de l’onctuosité aux yaourts Bordier. Ils sont disponibles nature, au lait entier ou maigre, ou bien sucrés et parfumés: ananas-orange, noix de coco, framboise, myrtille, citron vert, vanille de Madagascar, pêche du Roussillon, fraise de Plougastel.",Respecter la date indiqué sur les pots,Un délice à consommer sans modération !,,0.125,Produit n'est plus disponible,FDB17-PEG-1282,re::^FDB17-YAO,,
x,FDB17-BRE-1062,28,Roquefort Carles artisanal au lait cru de brebis,Activé,,kg,35.00 €,1 portion de 200g environ,0.200,1,7.00 €,35 €/kg,5,0.20,5.31 €,roquefortcarles.jpg,roquefortcarles.jpg,roquefortcarles.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Brebis,,Mon Fromager/Les Fromages des Batignolles/Brebis;;Mon Fromager/Les Fromages des Batignolles/Tous,,,Carles,http://www.roquefort-carles.fr/fr/,France Auvergne,AOC,Non,"32ù de matière grasse<br><br>La maison Carles est une affaire familiale fondée en 1927 par François Carles. Reprise par Jacques Carles en 1957, il est rejoint par sa fille Delphine en 1997. C’est dans un même esprit de continuité et avec la même passion pour son métier que Delphine Carles s’attache à produire artisanalement un roquefort d’exception dont le secret est gardé depuis trois générations.",,"Pour le déguster, il faut prévoir de le laisser à température ambiante 1/2 heure à 1 heure avant sa consommation. A conserver au frais dans l'emballage d'origine.",,0.200,Pas dispo lors du relevé,,"re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::^FDB17-BRE,FDB17-EPI-1311",,
x,FDB17-BRE-1358,27,Roquefort du Vieux Berger au lait cru de brebis,Activé,,kg,35.00 €,1 portion de 200g environ,0.200,1,7.00 €,35 €/kg,5,0.20,5.31 €,FRB17_Roquefort_Vieux_Berger.jpg,FRB17_Roquefort_Vieux_Berger.jpg,FRB17_Roquefort_Vieux_Berger.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Brebis,,Mon Fromager/Les Fromages des Batignolles/Brebis;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,France Auvergne,,Non,32% de matière grasse,,,,0.200,,,"re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAGre::^FDB17-BRE,FDB17-EPI-1311",,
x,FDB17-BRE-1046,10,Manchego au lait pasteurisé de brebis 6 et 12 mois,Activé,,kg,32.00 €,1 portion de 200g environ,0.200,1,6.40 €,32 €/kg,5,0.20,4.85 €,manchego.jpg,manchego.jpg,manchego.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Brebis,,Mon Fromager/Les Fromages des Batignolles/Brebis;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,Espagne,,Non,Le fromage Manchego est élaboré à partir de lait cru de brebis « manchega » (région de Valladolid en Castille) et frotté à l’huile d’olive ; il atteint son point optimum d’arome et de saveur après un an de macération en cave.,A conserver au frais dans l'emballage d'origine.,"
A déguster avec des figues sèches ou de la pâte de coing",,0.200,oui,"FDB17-BRE-1062,FDB17-BRE-1358,FDB17-BRE-1054","FDB17-EPI-1311,re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAGre::^FDB17-BRE,FDB17-EPI-1311",,
x,FDB17-BRE-1137,94,Cardabelle au lait cru de brebis,Activé,,kg,32.00 €,1 portion de 200g environ,0.200,1,6.40 €,32 €/kg,5,0.20,4.85 €,FRB17-Cardabelle.jpg,FRB17-Cardabelle.jpg,FRB17-Cardabelle.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Brebis,,Mon Fromager/Les Fromages des Batignolles/Brebis;;Mon Fromager/Les Fromages des Batignolles/Tous,,,SARL Le Fédou,,France Lozère,,Non,"32% de matière grasse<br><br>La cardabelle est une pâte molle à croûte fleurie de la forme d’un Brie, mais faite à partir de lait cru de brebis. sa durée d’affinage est de 3 semaines. Sa texture est onctueuse et crémeuse, sa saveur est douce, et ses arômes généreux de brebis sont de plus en plus développés en s'affinant.",,,,0.200,,"FDB17-BRE-1062,FDB17-BRE-1358","re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAGre::^FDB17-BRE,FDB17-EPI-1311",,
x,FDB17-CHA-1287,9,Napoli Piquante,0,,kg,30.00 €,,,,0.00 €,#DIV/0!,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Charcuterie,,Mon Fromager/Les Fromages des Batignolles/Charcuterie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,Villani,http://www.villanisalumi.it/fr/prodotti/napoli/,Italie,,Non,,,,,0.000,,,,,
x,FDB17-BRE-1259,152,"Le Sounal, au lait cru de brebis",Activé,,kg,32.00 €,1 portion de 200g,0.200,1,6.40 €,32 €/kg,5,0.20,4.85 €,sounal.jpg,sounal.jpg,sounal.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Brebis,,Mon Fromager/Les Fromages des Batignolles/Brebis;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,France Lozère,,Non,25% de matière grasse,,,,0.200,,"FDB17-BRE-1062,FDB17-BRE-1358","re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAGre::^FDB17-BRE",,
x,FDB17-BRE-1405,96,Tomme du Fedou au lait cru de Brebis,Activé,,kg,31.80 €,1 portion de 200g environ,0.2,1.000,6.36 €,31.8 €/kg,5,0.20,4.82 €,FRB17-TommeduFedou.jpg,FRB17-TommeduFedou.jpg,FRB17-TommeduFedou.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Brebis,,Mon Fromager/Les Fromages des Batignolles/Brebis;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,France Lozère,,Non,34% de matière grasse,,,,0.200,,"FDB17-BRE-1062,FDB17-BRE-1358","re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAGre::^FDB17-BRE",,
,FDB17-CHA-1305,,Porchetta,0,,kg,35.00 €,1 portion de 150g,0.150,1,5.25 €,35 €/kg,5,0.20,3.98 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Charcuterie,,Mon Fromager/Les Fromages des Batignolles/Charcuterie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.150,,,,,
,FDB17-CHA-1362,82,Rostello,0,,kg,28.90 €,,,,0.00 €,#DIV/0!,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Charcuterie,,Mon Fromager/Les Fromages des Batignolles/Charcuterie;;Mon Fromager/Les Fromages des Batignolles/Tous,,Stock limité,,,,,Non,,,,,0.000,,,,,
