,sku,reference_interne_magasin,name,status,on_selection,unite_prix,prix_public,short_description,poids_portion,nbre_portion,price,prix_kilo_site,tax_class_id,marge_arriere,cost,image,small_image,thumbnail,_product_websites,commercant,,,categories,saisonnalite,producteur,lien_producteur,origine,labels_produits,produit_biologique,description,suggestion_utilisation,conseil_commercant,poids_par_pers,weight,notes_com,meta_title,meta_description,us_skus,re_skus,cs_skus
,BDM17-BOE-1290,10,Rosbif dans l'Aiguillette,0,,kg,17.90 €,1 rosbif de 1kg environ,1.000,1,17.90 €,17.9 €/kg,5,0.2,13.57 €,BDM17-rosbifaiguillette.jpg,BDM17-rosbifaiguillette.jpg,BDM17-rosbifaiguillette.jpg,petitcommis_batignolles,Boucherie des Moines,Bœuf,Rosbif,Mon Boucher/Boucherie des Moines/Bœuf;;Mon Boucher/Boucherie des Moines/Tous,Toute l'année,,,France,Blonde d'Aquitaine ou Limousine,Non,"Le rosbif taillé dans l'aiguillette est un rôti de qualité, tendre et fondant.","Le rosbif permet un plaisir au quotidien. Pour l’apprécier au mieux, servir des tranches plutôt fines. Froid, il permet de préparer en un clin d’œil une assiette gourmande.",,,1.000,Toute l'année,Rosbif dans l'Aiguillette,"Le rosbif taillé dans l'aiguillette est un rôti de qualité, tendre et fondant.",BDM17-BOE-1291,"re::^CDV17-VR,MPB17-FSE-1005,re::^MPB17-ARO",
,BDM17-BOE-1351,11,Tartare,Activé,,kg,17.90 €,1 tartare de 180g environ,0.180,1,3.22 €,17.9 €/kg,5,0.2,2.44 €,tartare.jpg,tartare.jpg,tartare.jpg,petitcommis_batignolles,Boucherie des Moines,Bœuf,,Mon Boucher/Boucherie des Moines/Bœuf;;Mon Boucher/Boucherie des Moines/Tous,,,,France,,Non,,,,0.000,0.180,,Tartare,,DAN17-BOE-014,"re::^CDV17-VR,MPB17-FSE-1005,re::^MPB17-ARO",
,BDM17-BOE-1022,12,Bifteck haché supérieur,Activé,1,kg,13.95 €,1 steak de 150g environ,0.150,1,2.09 €,13.95 €/kg,5,0.2,1.59 €,steak_hache.jpg,steak_hache.jpg,steak_hache.jpg,petitcommis_batignolles,Boucherie des Moines,Bœuf,,Mon Boucher/Boucherie des Moines/Bœuf;;Mon Boucher/Boucherie des Moines/Tous,Toute l'année,,,France,Blonde d'Aquitaine ou Limousine,Non,,,,0.150,0.150,Toute l'année,Bifteck haché supérieur,,DAN17-BOE-013,"re::^CDV17-VR,MPB17-FSE-1005,re::^MPB17-ARO",
,BDM17-BOE-1027,13,Bifteck poire merlan,Activé,,kg,28.95 €,1 tranche de 180g environ,0.180,1,5.21 €,28.95 €/kg,5,0.2,3.95 €,BDM17-bifteckpoire.jpg,BDM17-bifteckpoire.jpg,BDM17-bifteckpoire.jpg,petitcommis_batignolles,Boucherie des Moines,Bœuf,Bifteck,Mon Boucher/Boucherie des Moines/Bœuf;;Mon Boucher/Boucherie des Moines/Tous,Toute l'année,,,France,Blonde d'Aquitaine ou Limousine,Non,"Le steak ou bifteck est une pièce de viande peu épaisse, très tendre, à fibres courtes ou longues, et toujours savoureuse. Parmi les pièces du boucher, ce steak de poire est particulièrement tendre: un excellent steak réservé aux connaisseurs.","Il aime toutes les cuissons, de « bleu » à « à point », se sert nature ou arrosé d’un beurre fondu, accompagné d’une sauce traditionnelle ou venue d’ailleurs, tous les choix sont permis.","Un bifteck se conserve de deux à trois jours au réfrigérateur, dans sa partie la plus froide.",0.160,0.180,Toute l'année,Bifteck poire merlan,"Le steak ou bifteck est une pièce de viande peu épaisse, très tendre, à fibres courtes ou longues, et toujours savoureuse. Parmi les pièces du boucher, ce steak de poire est particulièrement tendre: un excellent steak réservé aux connaisseurs.",,"re::^CDV17-VR,MPB17-FSE-1005,re::^MPB17-ARO",
,BDM17-BOE-1019,14,Bifteck bavette d'aloyau,Activé,1,kg,27.95 €,1 bifteck de 160g environ,0.160,1,4.47 €,27.95 €/kg,5,0.2,3.39 €,bavette_aloyau.jpg,bavette_aloyau.jpg,bavette_aloyau.jpg,petitcommis_batignolles,Boucherie des Moines,Bœuf,Bifteck,Mon Boucher/Boucherie des Moines/Bœuf;;Mon Boucher/Boucherie des Moines/Tous,Toute l'année,,,France,Blonde d'Aquitaine ou Limousine,Non,"La bavette d’Aloyau se caractérise par ses fibres longues et peu serrées et sa saveur incomparable. Juteuse, savoureuse et facile à préparer: cette bavette est un standard de la cuisine traditionnelle.","Il aime toutes les cuissons, de « bleu » à « à point », se sert nature ou arrosé d’un beurre fondu, accompagné d’une sauce traditionnelle ou venue d’ailleurs, tous les choix sont permis.","Un bifteck se conserve de deux à trois jours au réfrigérateur, dans sa partie la plus froide.",0.160,0.160,Toute l'année,Bifteck bavette d'aloyau,"La bavette d’Aloyau se caractérise par ses fibres longues et peu serrées et sa saveur incomparable. Juteuse, savoureuse et facile à préparer: cette bavette est un standard de la cuisine traditionnelle.",DAN17-BOE-011,"re::^CDV17-VR,MPB17-FSE-1005,re::^MPB17-ARO",
,BDM17-BOE-1302,15,Bifteck bavette,0,,kg,24.95 €,1 tranche de 180g environ,0.180,1,4.49 €,24.95 €/kg,5,0.2,3.41 €,BDM17-bifteckbavette.jpg,BDM17-bifteckbavette.jpg,BDM17-bifteckbavette.jpg,petitcommis_batignolles,Boucherie des Moines,Bœuf,Bifteck,Mon Boucher/Boucherie des Moines/Bœuf;;Mon Boucher/Boucherie des Moines/Tous,Toute l'année,,,France,Blonde d'Aquitaine ou Limousine,Non,"La bavette se caractérise par ses fibres longues et peu serrées et sa saveur incomparable. Juteuse, savoureuse et facile à préparer: cette bavette est un standard de la cuisine traditionnelle.","Il aime toutes les cuissons, de « bleu » à « à point », se sert nature ou arrosé d’un beurre fondu, accompagné d’une sauce traditionnelle ou venue d’ailleurs, tous les choix sont permis.","Un bifteck se conserve de deux à trois jours au réfrigérateur, dans sa partie la plus froide.",0.160,0.180,Non dispo lors du relevé,Bifteck bavette,"La bavette se caractérise par ses fibres longues et peu serrées et sa saveur incomparable. Juteuse, savoureuse et facile à préparer: cette bavette est un standard de la cuisine traditionnelle.",DAN17-BOE-011,"re::^CDV17-VR,MPB17-FSE-1005,re::^MPB17-ARO",
,BDM17-BOE-1246,16,Pièce à fondue,0,,kg,28.95 €,1 tranche de 180g environ,0.180,1,5.21 €,28.95 €/kg,5,0.2,3.95 €,piece_fondue.jpg,piece_fondue.jpg,piece_fondue.jpg,petitcommis_batignolles,Boucherie des Moines,Bœuf,,Mon Boucher/Boucherie des Moines/Bœuf;;Mon Boucher/Boucherie des Moines/Tous,Toute l'année,,,,,Non,,,,0.160,0.180,Toute l'année,Pièce à fondue,,,"re::^CDV17-VR,MPB17-FSE-1005,re::^MPB17-ARO",
,BDM17-BOE-1020,17,Bifteck dessus palette,Activé,,kg,28.95 €,1 tranche de 180g environ,0.180,1,5.21 €,28.95 €/kg,5,0.2,3.95 €,BDM17-bifteckdessus.jpg,BDM17-bifteckdessus.jpg,BDM17-bifteckdessus.jpg,petitcommis_batignolles,Boucherie des Moines,Bœuf,Bifteck,Mon Boucher/Boucherie des Moines/Bœuf;;Mon Boucher/Boucherie des Moines/Tous,Toute l'année,,,France,Blonde d'Aquitaine ou Limousine,Non,"Le steak ou bifteck est une pièce de viande peu épaisse, très tendre, à fibres courtes ou longues, et toujours savoureuse.","Il aime toutes les cuissons, de « bleu » à « à point », se sert nature ou arrosé d’un beurre fondu, accompagné d’une sauce traditionnelle ou venue d’ailleurs, tous les choix sont permis.","Un bifteck se conserve de deux à trois jours au réfrigérateur, dans sa partie la plus froide.",0.160,0.180,Toute l'année,Bifteck dessus palette,"Le steak ou bifteck est une pièce de viande peu épaisse, très tendre, à fibres courtes ou longues, et toujours savoureuse.",,"re::^CDV17-VR,MPB17-FSE-1005,re::^MPB17-ARO",
,BDM17-BOE-1024,17,Bifteck mouvant,Activé,,kg,27.95 €,1 tranche de 180g environ,0.180,1,5.03 €,27.95 €/kg,5,0.2,3.81 €,BDM17-bifteckpoire.jpg,BDM17-bifteckpoire.jpg,BDM17-bifteckpoire.jpg,petitcommis_batignolles,Boucherie des Moines,Bœuf,Bifteck,Mon Boucher/Boucherie des Moines/Bœuf;;Mon Boucher/Boucherie des Moines/Tous,,,,France,Blonde d'Aquitaine ou Limousine,Non,"Le steak ou bifteck est une pièce de viande peu épaisse, très tendre, à fibres courtes ou longues, et toujours savoureuse. Le mouvant, de la même famille que la poire ou le merlan est un morceau très savoureux.","Il aime toutes les cuissons, de « bleu » à « à point », se sert nature ou arrosé d’un beurre fondu, accompagné d’une sauce traditionnelle ou venue d’ailleurs, tous les choix sont permis.","Un bifteck se conserve de deux à trois jours au réfrigérateur, dans sa partie la plus froide.",0.150,0.180,Pas dispo lors du relevé,Bifteck mouvant,"Le steak ou bifteck est une pièce de viande peu épaisse, très tendre, à fibres courtes ou longues, et toujours savoureuse. Le mouvant, de la même famille que la poire ou le merlan est un morceau très savoureux.",DAN17-BOE-012,"re::^CDV17-VR,MPB17-FSE-1005,re::^MPB17-ARO",
,BDM17-BOE-1028,17,Bifteck tranche grasse,Activé,,kg,27.95 €,1 tranche de 180g environ,0.180,1,5.03 €,27.95 €/kg,5,0.2,3.81 €,BDM17-biftecktranchegrasse.jpg,BDM17-biftecktranchegrasse.jpg,BDM17-biftecktranchegrasse.jpg,petitcommis_batignolles,Boucherie des Moines,Bœuf,Bifteck,Mon Boucher/Boucherie des Moines/Bœuf;;Mon Boucher/Boucherie des Moines/Tous,,,,France,Blonde d'Aquitaine ou Limousine,Non,"Le steak ou bifteck est une pièce de viande peu épaisse, très tendre, à fibres courtes ou longues, et toujours savoureuse.","Il aime toutes les cuissons, de « bleu » à « à point », se sert nature ou arrosé d’un beurre fondu, accompagné d’une sauce traditionnelle ou venue d’ailleurs, tous les choix sont permis.","Un bifteck se conserve de deux à trois jours au réfrigérateur, dans sa partie la plus froide.",0.150,0.180,Pas dispo lors du relevé,Bifteck tranche grasse,"Le steak ou bifteck est une pièce de viande peu épaisse, très tendre, à fibres courtes ou longues, et toujours savoureuse.",,"re::^CDV17-VR,MPB17-FSE-1005,re::^MPB17-ARO",
,BDM17-BOE-1025,18,Bifteck onglet,Activé,,kg,24.95 €,1 tranche de 180g environ,0.180,1,4.49 €,24.95 €/kg,5,0.2,3.41 €,BDM17-bifteckonglet.jpg,BDM17-bifteckonglet.jpg,BDM17-bifteckonglet.jpg,petitcommis_batignolles,Boucherie des Moines,Bœuf,Bifteck,Mon Boucher/Boucherie des Moines/Bœuf;;Mon Boucher/Boucherie des Moines/Tous,,,,France,Blonde d'Aquitaine ou Limousine,Non,"L’onglet une viande à fibres longues, de caractère, tendre et très gouteuse, particulièrement appréciée des amateurs. La hampe et l’onglet font partie de ce que l’on appelle communément les ""morceaux du boucher"", car ils sont difficiles à détailler : ils sont présents en quantité restreinte sur l’animal, et nécessitent un travail important de la part du boucher qui doit user de patience pour les préparer.","Servi nature, saignant, juste salé et poivré, il exprime toutes ses saveurs. Servi « façon bistrot » avec une tombée d’échalotes, il se donne un petit air musclé.","La hampe et l’onglet, comme tout bifteck, se conserveront deux à trois jours au réfrigérateur.",0.150,0.180,Pas dispo lors du relevé,Bifteck onglet,"L’onglet une viande à fibres longues, de caractère, tendre et très gouteuse, particulièrement appréciée des amateurs. La hampe et l’onglet font partie de ce que l’on appelle communément les ""morceaux du boucher"", car ils sont difficiles à détailler : ils sont présents en quantité restreinte sur l’an",DAN17-BOE-019,"re::^CDV17-VR,MPB17-FSE-1005,re::^MPB17-ARO",
,BDM17-BOE-1023,19,Bifteck hampe,Activé,,kg,24.90 €,1 tranche de 180g environ,0.180,1,4.48 €,24.9 €/kg,5,0.2,3.40 €,BDM17-bifteckhampe.jpg,BDM17-bifteckhampe.jpg,BDM17-bifteckhampe.jpg,petitcommis_batignolles,Boucherie des Moines,Bœuf,Bifteck,Mon Boucher/Boucherie des Moines/Bœuf;;Mon Boucher/Boucherie des Moines/Tous,,,,France,Blonde d'Aquitaine ou Limousine,Non,"La hampe est une viande très goûteuse reconnaissable à ses fibres longues et très apparentes. La hampe et l’onglet font partie de ce que l’on appelle communément les ""morceaux du boucher"", car ils sont difficiles à détailler : ils sont présents en quantité restreinte sur l’animal, et nécessitent un travail important de la part du boucher qui doit user de patience pour les préparer.","Les amateurs la préfèrent saignante, une cuisson qui permet d’apprécier toutes ses qualités gustatives, et notamment sa jutosité et sa consistance en bouche très caractéristiques.","La hampe et l’onglet, comme tout bifteck, se conserveront deux à trois jours au réfrigérateur.",0.150,0.180,Pas dispo lors du relevé,Bifteck hampe,"La hampe est une viande très goûteuse reconnaissable à ses fibres longues et très apparentes. La hampe et l’onglet font partie de ce que l’on appelle communément les ""morceaux du boucher"", car ils sont difficiles à détailler : ils sont présents en quantité restreinte sur l’animal, et nécessitent un ",,"re::^CDV17-VR,MPB17-FSE-1005,re::^MPB17-ARO",
,BDM17-BOE-1018,20,Bifteck araignée,Activé,,kg,26.95 €,1 tranche de 180g environ,0.180,1,4.85 €,26.95 €/kg,5,0.2,3.68 €,BDM17-araigneeboeuf.jpg,BDM17-araigneeboeuf.jpg,BDM17-araigneeboeuf.jpg,petitcommis_batignolles,Boucherie des Moines,Bœuf,Bifteck,Mon Boucher/Boucherie des Moines/Bœuf;;Mon Boucher/Boucherie des Moines/Tous,,,,France,Blonde d'Aquitaine ou Limousine,Non,"Morceau de la tranche, l’araignée est de forme très irrégulière, dont les fibres musculaires ressemblent aux pattes d’une araignée.","Il aime toutes les cuissons, de « bleu » à « à point », se sert nature ou arrosé d’un beurre fondu, accompagné d’une sauce traditionnelle ou venue d’ailleurs, tous les choix sont permis.","Un bifteck se conserve de deux à trois jours au réfrigérateur, dans sa partie la plus froide.",0.150,0.180,Sur commande,Bifteck araignée,"Morceau de la tranche, l’araignée est de forme très irrégulière, dont les fibres musculaires ressemblent aux pattes d’une araignée.",DAN17-BOE-025,"re::^CDV17-VR,MPB17-FSE-1005,re::^MPB17-ARO",
,BDM17-BOE-1058,21,Carpaccio frais de boeuf,Activé,1,kg,22.90 €,1 portion de 200g environ,0.200,1,4.58 €,22.9 €/kg,5,0.2,3.47 €,BDM17-carpaccio.jpg,BDM17-carpaccio.jpg,BDM17-carpaccio.jpg,petitcommis_batignolles,Boucherie des Moines,Bœuf,,Mon Boucher/Boucherie des Moines/Bœuf;;Mon Boucher/Boucherie des Moines/Tous,Toute l'année,,,France,Fait maison,Non,,,,0.100,0.200,Toute l'année,Carpaccio frais de boeuf,,DAN17-BOE-022,"re::^CDV17-VR,MPB17-FSE-1005,re::^MPB17-ARO",
,BDM17-BOE-1026,22,Bifteck persillé (pièce parée),Activé,,kg,26.95 €,1 tranche de bifteck de 160g environ,0.160,1,4.31 €,26.95 €/kg,5,0.2,3.27 €,bifteckpersille.jpg,bifteckpersille.jpg,bifteckpersille.jpg,petitcommis_batignolles,Boucherie des Moines,Bœuf,Bifteck,Mon Boucher/Boucherie des Moines/Bœuf;;Mon Boucher/Boucherie des Moines/Tous,Toute l'année,,,France,Blonde d'Aquitaine ou Limousine,Non,"Le steak ou bifteck est une pièce de viande peu épaisse, très tendre, à fibres courtes ou longues, et toujours savoureuse.","Il aime toutes les cuissons, de « bleu » à « à point », se sert nature ou arrosé d’un beurre fondu, accompagné d’une sauce traditionnelle ou venue d’ailleurs, tous les choix sont permis.","Un bifteck se conserve de deux à trois jours au réfrigérateur, dans sa partie la plus froide.",0.160,0.160,Toute l'année,Bifteck persillé (pièce parée),"Le steak ou bifteck est une pièce de viande peu épaisse, très tendre, à fibres courtes ou longues, et toujours savoureuse.",,"re::^CDV17-VR,MPB17-FSE-1005,re::^MPB17-ARO",
