"-- Please Select --","-- Veuillez sélectionner --"
"-- Do not display block on sponsorship page --","-- Ne pas afficher de block sur la page des parrainages --"
"Sponsorship - Share By Email","Parrainage - Paratager par Email"
"Since","Depuis"
"Sponsor","Parrain",
"Sponsor:","Parrain :",
"Sponsor Code","Code Parrain"
"Sponsor Code is not valid","Le Code Parrain n'est pas valide"
"Sponsor Email","Email du Parrain"
"Sponsor Id","Id du Parrain"
"Sponsor Name","Nom du Parrain"
"Sponsor since","Parrain depuis"
"Sponsor Your Friends","Parrainez vos amis"
"Sponsors","Parrains"
"Sponsorship","Parrainage",
"Sponsorship Settings","Configuration du Parrainage",
"Text","Texte"
"This block is displayed on the Sponsorship customer dashboard","Ce bloc est affiché sur le dashboard de parrainage du client"
"This block is displayed on the Sponsorship customer dashboard when this customer is not a sponsor yet. He must ordered once before becoming a sponsor (if enabled)","Ce block est affiché sur le dashboard de parrainage du client si il n'est pas encore un parrain. Il doit faire au moins une commande avant de devenir parrain (si activé)"
"This message is displayed whenever the customer successfully registerd and linked to his sponsor.","Ce message s'affichage lorsque le client a créé son compte et est lié avec son parrain."
"This text is displayed under the description.","Ce texte est affiché sous la description"
"This text will be displayed near the text field for the sponsor code. Used to give instructions to the customer","Ce texte s'affiche à coté du champ pour renseigner le code parrain. Utilié pour donner des instructions au client"
"Total Ordered","Total cumulé"
"Url Shortener Api Key","Clé d'Api pour l'Url Shortener"
"View godchilds","Voir les filleuls"
"View sponsors","Voir les parrains"
"Will use this rule to create discount coupon. (eg: 10€ discount when total ordered has reached the minimum ordered amount)","Utilisera cette règle pour créer le coupon de réduction. (ex: 10€ de réduction si le total commandé cumulé a atteind le minimum configuré)"
"Will use this rule to create discount coupon when a new customer is successfully registered as a godchild.","Uilisera cette règle pour créer le coupon de réduction lorsqu'un nouveau client est inscrit avec succès en tant que filleul.
"Yes","Oui"
"You can use %s to insert the sponsor name.","Vous pouvez utiliser %s pour insérer le nom du parrain"
"You have %s godchilds","Vous avez %s filleuls"
"You have %s rewards","Vous avez %s récompenses"
"You just have to share your unique web link or your sponsor code","Il vous suffit de partager votre lien web unique ou votre code parrain"
"Your message","Votre message"
"Your sponsor code:","Votre code parrain :"
"Your unique link:","Votre lien unique :"
"Your unique link and your sponsor code will be automatically added to the email","Votre lien unique et votre code parrain seront automatiquement ajouté à l'email"

