,sku,reference_interne_magasin,name,status,on_selection,unite_prix,prix_public,short_description,poids_portion,nbre_portion,price,prix_kilo_site,tax_class_id,marge_arriere,cost,image,small_image,thumbnail,image_label,small_image_label,thumbnail_label,_product_websites,store,websites,commercant,,,,produit_de_saison,,categories,Maturité (choisir une option):drop_down:1,,saisonnalite,producteur,lien_producteur,origine,labels_produits,produit_biologique,description,suggestion_utilisation,conseil_commercant,poids_par_pers,weight,notes_com,meta_title,meta_description,us_skus,re_skus,cs_skus
x,MPB17-ARO-1083,76,Aneth,Activé,0,piece,1.00 €,La pièce,,1,1.00 €,1 €/piece,5,0.20,0.76 €,aneth.jpg,aneth.jpg,aneth.jpg,Aneth,Aneth,Aneth,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Epicerie,Aromates,;;Epicier/Pascal Bassard Primeur/Aromates,Non,Primeur/Pascal Bassard Primeur/Epicerie,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Epicerie/Aromates;;Epicier/Pascal Bassard Primeur/Aromates,,456789O,Stock limité,,,,,Non,L'aneth est une plante annuelle aromatique d'une saveur proche du fenouil. ,"L'aneth sert à assaisonner les sauces claires, la mayonnaise ou la rémoulade, mais également les ragoûts de poulet ou de veau, les poissons. Il va également bien avec les légumes comme le concombre, les courgettes et les haricots. L'aneth frais se conserve deux jours maximum au réfrigérateur dans des sachets en plastique ou entouré d'un papier absorbant humide.","Je choisis l'aneth en botte, d'une couleur verte et non jaunatre, avec des brins bien droit.",,0.000,,Aneth - Au Pas De Courses,Aneth - Pascal Bassard Primeur - La pièce - L'aneth est une plante annuelle aromatique d'une saveur proche du fenouil. ,,re::^MPB17-ARO,
,MPB17-AUL-1008,50,Artichaut,Activé,0,kg,5.95 €,L'unité environ 850g,0.850,1,5.06 €,5.95 €/kg,5,0.20,3.84 €,PBP17-artichaut.jpg,PBP17-artichaut.jpg,PBP17-artichaut.jpg,Artichaut,Artichaut,Artichaut,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les légumes,Autres Légumes,,Non,Primeur/Pascal Bassard Primeur/Tous les légumes,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les légumes/Autres Légumes,,6789,,,,Espagne,,Non,"Originaire de l’ouest méditerranéen, l’artichaut est une évolution botanique du chardon. Cette fleur comestible à la saveur fine garnit les tables au printemps et à l’été. Délicate et généreuse, la chair d’artichaut est gorgée d’antioxydants.",,,,0.850,,Artichaut - Au Pas De Courses,"Artichaut - Pascal Bassard Primeur - L'unité environ 850g - Originaire de l’ouest méditerranéen, l’artichaut est une évolution botanique du chardon. Cette fleur","MPB17-AUL-1128,MPB17-AUF-1062",re::MPB17-AUL,
x,MPB17-AUL-1134,178,Asperge verte,Activé,0,pièce,6.95 €,La botte de 450g,0.450,1,6.95 €,6.95 €/pièce,5,0.20,5.27 €,PBP17-asperge.jpg,PBP17-asperge.jpg,PBP17-asperge.jpg,Asperge verte,Asperge verte,Asperge verte,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les légumes,Autres Légumes,,Non,Primeur/Pascal Bassard Primeur/Tous les légumes,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les légumes/Autres Légumes,,56,,,,Pérou,,Non,,,,,0.450,,Asperge verte - Au Pas De Courses,Asperge verte - Pascal Bassard Primeur - La botte de 450g - ,MPB17-AUL-1140,FDB17-VAC-1057,
x,MPB17-AUL-1010,59,Aubergine,Activé,0,kg,2.50 €,L'unité environ 450g,0.450,1,1.13 €,2.5 €/kg,5,0.20,0.85 €,aubergine.jpg,aubergine.jpg,aubergine.jpg,Aubergine,Aubergine,Aubergine,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les légumes,Autres Légumes,,Non,Primeur/Pascal Bassard Primeur/Tous les légumes,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les légumes/Autres Légumes,,6789,,,,Espagne,,Non,L’aubergine est un légume facile à vivre qui se cuisine aisément. Sa chair fondante se marie à un grand nombre de préparations salées.,,,,0.450,,Aubergine - Au Pas De Courses,Aubergine - Pascal Bassard Primeur - L'unité environ 450g - L’aubergine est un légume facile à vivre qui se cuisine aisément. Sa chair fondante se marie à un gr,MPB17-AUL-1050,re::^MPB17-AUL,
x,MPB17-AUL-1011,85,"Avocat, gros calibre",Activé,1,piece,2.95 €,"La pièce, environ 350g",0.350,1,2.95 €,2.95 €/piece,5,0.20,2.24 €,PBP17-avocatgros.jpg,PBP17-avocatgros.jpg,PBP17-avocatgros.jpg,"Avocat, gros calibre","Avocat, gros calibre","Avocat, gros calibre",apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les légumes,Autres Légumes,,Non,Primeur/Pascal Bassard Primeur/Tous les légumes,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les légumes/Autres Légumes,A consommer|A laisser mûrir,,,,,Espagne,,Non,"Douceur et onctuosité de la chair de l’avocat en font un partenaire gourmand au quotidien. Facile à consommer, il est présent sur les étals toute l’année pour contenter votre gourmandise et favoriser votre bien-être.",,,,0.350,,"Avocat, gros calibre - Au Pas De Courses","Avocat, gros calibre - Pascal Bassard Primeur - La pièce, environ 350g - Douceur et onctuosité de la chair de l’avocat en font un partenaire gourmand au quotidi",MPB17-AUL-1013,re::^MPB17-SAL,
x,MPB17-AUL-1014,22,"Avocat, petit calibre",Activé,0,piece,1.45 €,La pièce,,1,1.45 €,1.45 €/piece,5,0.20,1.10 €,PBP17-avocatpetit.jpg,PBP17-avocatpetit.jpg,PBP17-avocatpetit.jpg,"Avocat, petit calibre","Avocat, petit calibre","Avocat, petit calibre",apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les légumes,Autres Légumes,,Non,Primeur/Pascal Bassard Primeur/Tous les légumes,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les légumes/Autres Légumes,Prêt à consommer|A laisser mûrir,,,,,Espagne,,Non,"Douceur et onctuosité de la chair de l’avocat en font un partenaire gourmand au quotidien. Facile à consommer, il est présent sur les étals toute l’année pour contenter votre gourmandise et favoriser votre bien-être.",,,,0.000,,"Avocat, petit calibre - Au Pas De Courses","Avocat, petit calibre - Pascal Bassard Primeur - La pièce - Douceur et onctuosité de la chair de l’avocat en font un partenaire gourmand au quotidien. Facile à ","MPB17-AUL-1014,MPB17-AUL-1013",re::^MPB17-SAL,
,MPB17-FSE-1016,,Baies roses,Activé,0,pièce,3.95 €,Le pot de 30g,0.030,1,3.95 €,3.95 €/pièce,5,0.20,3.00 €,PBP17-Baiesroses.jpg,PBP17-Baiesroses.jpg,PBP17-Baiesroses.jpg,Baies roses,Baies roses,Baies roses,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Epicerie,Epices,;;Epicier/Pascal Bassard Primeur/Epices,Non,Primeur/Pascal Bassard Primeur/Epicerie,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Epicerie/Epices;;Epicier/Pascal Bassard Primeur/Epices,,,,Jean d'Aubignac,,Brésil,,Non,"Les baies roses sont utilisées avec les poissons, le riz, les pâtes, le poulet ou encore le porc.",,,,0.030,,Baies roses - Au Pas De Courses,"Baies roses - Pascal Bassard Primeur - Le pot de 30g - Les baies roses sont utilisées avec les poissons, le riz, les pâtes, le poulet ou encore le porc.",re::^FDB17-EPI,"re::^MPB17-EPI,re::^MPB17-FSE,re::^FDB17-EPI,re::^FDB17-PER,re::^FDB17-HUI",
x,MPB17-FEX-1015,2,Banane,Activé,0,kg,1.95 €,Les 500g,0.500,1,0.98 €,1.95 €/kg,5,0.20,0.74 €,PBP17-banane.jpg,PBP17-banane.jpg,PBP17-banane.jpg,Banane,Banane,Banane,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les fruits,Fruits exotiques,,Non,Primeur/Pascal Bassard Primeur/Tous les fruits,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les fruits/Fruits exotiques,,,,,,France Martinique,,Non,"Première plante alimentaire cultivée par l’Homme, le bananier produit l’un des fruits préférés des Français. La saveur gourmande et généreuse de la banane vous accompagne au quotidien, vous prodiguant ses bienfaits et son énergie au fil de la journée.",,,,0.500,,Banane - Au Pas De Courses,"Banane - Pascal Bassard Primeur - Les 500g - Première plante alimentaire cultivée par l’Homme, le bananier produit l’un des fruits préférés des Français. La sav",MPB17-FEX-1100,re::^MPB17-FEX,
x,MPB17-AUL-1078,326,Barquette d'haricots verts équeutés,Activé,0,barquette,3.95 €,La barquette de 250g,0.25,1,3.95 €,3.95 €/barquette,5,0.20,3.00 €,haricotvertbarquette.jpg,haricotvertbarquette.jpg,haricotvertbarquette.jpg,Barquette d'haricots verts équeutés,Barquette d'haricots verts équeutés,Barquette d'haricots verts équeutés,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les légumes,Autres Légumes,,Non,Primeur/Pascal Bassard Primeur/Tous les légumes,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les légumes/Autres Légumes,,,,,,Kenya,,Non,"Originaire d’Amérique du Sud, le haricot vert est devenu un légume de base de la cuisine en France. Présenté en fagot, en salade ou en purée, il est bien plus qu’un accompagnement passe-partout. Colorées, croquantes ou fondantes, les différentes variétés allient plaisir et arguments nutritionnels.",,,,0.250,,Barquette d'haricots verts équeutés - Au Pas De Courses,"Barquette d'haricots verts équeutés - Pascal Bassard Primeur - La barquette de 250g - Originaire d’Amérique du Sud, le haricot vert est devenu un légume de base",,re::^MPB17-AUL,
x,MPB17-AUL-1041,,Barquette de champignons émincés de Luxe,Activé,0,pièce,5.95 €,La barquette de 300g,0.300,1,5.95 €,5.95 €/pièce,5,0.20,4.51 €,PBP17-champiemincesluxe.jpg,PBP17-champiemincesluxe.jpg,PBP17-champiemincesluxe.jpg,Barquette de champignons émincés de Luxe,Barquette de champignons émincés de Luxe,Barquette de champignons émincés de Luxe,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les légumes,Autres Légumes,,Non,Primeur/Pascal Bassard Primeur/Tous les légumes,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les légumes/Autres Légumes,,678,,,,Europe,,Non,"Mélange de champignons émincés (champignons roses, pleurotes, champignons de Paris, Pied de Mouton) et persil. Origine: Pays Bas, Turquie, Pologne. Cat 1",,,,0.300,,Barquette de champignons émincés de Luxe - Au Pas De Courses,"Barquette de champignons émincés de Luxe - Pascal Bassard Primeur - La barquette de 300g - Mélange de champignons émincés (champignons roses, pleurotes, champig","MPB17-AUL-1039,MPB17-AUL-1037,MPB17-AUL-1114",re::^MPB17-AUL,
x,MPB17-AUL-1040,384,Barquette de champignons émincés de Paris,Activé,0,pièce,3.95 €,La barquette de 300g,0.300,1,3.95 €,3.95 €/pièce,5,0.20,3.00 €,PBP17-champiemincesParis.jpg,PBP17-champiemincesParis.jpg,PBP17-champiemincesParis.jpg,Barquette de champignons émincés de Paris,Barquette de champignons émincés de Paris,Barquette de champignons émincés de Paris,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les légumes,Autres Légumes,,Non,Primeur/Pascal Bassard Primeur/Tous les légumes,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les légumes/Autres Légumes,,678,,,,Pays Bas,,Non,,,,,0.300,,Barquette de champignons émincés de Paris - Au Pas De Courses,Barquette de champignons émincés de Paris - Pascal Bassard Primeur - La barquette de 300g - ,"MPB17-AUL-1039,MPB17-AUL-1037,MPB17-AUL-1114",re::^MPB17-AUL,
,MPB17-EPI-1016,,Barquette de noisettes décortiquées,Activé,1,pièce,7.95 €,La barquette de 250g environ,0.250,1,7.95 €,7.95 €/pièce,5,0.20,6.03 €,PBP17-Noisettes.jpg,PBP17-Noisettes.jpg,PBP17-Noisettes.jpg,Barquette de noisettes décortiquées,Barquette de noisettes décortiquées,Barquette de noisettes décortiquées,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Fruits secs,,,Non,Primeur/Pascal Bassard Primeur/Fruits secs,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Fruits secs,,,,,,,,Non,,,,,0.250,,Barquette de noisettes décortiquées - Au Pas De Courses,Barquette de noisettes décortiquées - Pascal Bassard Primeur - La barquette de 250g environ - ,re::^FDB17-EPI,"re::^MPB17-EPI,re::^MPB17-FSE,re::^FDB17-EPI,re::^FDB17-PER,re::^FDB17-PER,re::^FDB17-HUI",
x,MPB17-AUL-1018,54,Barquette de pois Gourmand,Activé,0,barquette,3.95 €,La barquette de 250g,0.250,1,3.95 €,3.95 €/barquette,5,0.20,3.00 €,poisgourmand.jpg,poisgourmand.jpg,poisgourmand.jpg,Barquette de pois Gourmand,Barquette de pois Gourmand,Barquette de pois Gourmand,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les légumes,Autres Légumes,,Non,Primeur/Pascal Bassard Primeur/Tous les légumes,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les légumes/Autres Légumes,,,,,,Kenya,,Non,"Variété de petits pois dont on consomme la gousse, le pois gourmand occupe une place de choix dans l’alimentation depuis des siècles. Largement importé, il est apprécié au printemps. Sa saveur printanière est un régal dans des préparations simples et traditionnelles. On l’appelle aussi pois mange-tout ou princesse. Légume plaisir, il est l’allié de votre bien-être grâce à ses qualités nutritionnelles atypiques.",,,,0.250,,Barquette de pois Gourmand - Au Pas De Courses,"Barquette de pois Gourmand - Pascal Bassard Primeur - La barquette de 250g - Variété de petits pois dont on consomme la gousse, le pois gourmand occupe une plac","MPB17-AUL-1077,MPB17-AUL-1078",re::^MPB17-AUL,
x,MPB17-ARO-1085,76,Basilic,Activé,0,piece,1.00 €,La pièce,,1,1.00 €,1 €/piece,5,0.20,0.76 €,basilic.jpg,basilic.jpg,basilic.jpg,Basilic,Basilic,Basilic,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Epicerie,Aromates,;;Epicier/Pascal Bassard Primeur/Aromates,Non,Primeur/Pascal Bassard Primeur/Epicerie,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Epicerie/Aromates;;Epicier/Pascal Bassard Primeur/Aromates,,456789O,Stock limité,,,,,Non,"De la même famille que le romarin ou la sauge, le basilic est cultivée comme plante aromatique et condimentaire. Le terme basilic vient du grec basilikon, « royal», en référence à la haute estime portée à cette herbe. Cette plante, originaire d'Iran ou de l'Inde où elle est sacrée, est arrivée en Europe via le Moyen-Orient au XVème siècle. e basilic se récolte en été. Il existe de nombreuses variétés de basilic, celle à petites feuilles étant la plus répandue sur les marchés. On peut également citer le basilic à grandes feuilles, le basilic pourpre ou le basilic thaï, au goût un peu plus piquant. ","
On peut l'utiliser frais, séché ou broyé. Le basilic frais est plus aromatique, en botte avec les racines. Le basilic frais aromatise particulièrement bien les salades mais peut également se marier avec les oeufs et les pâtes, ainsi qu'avec les légumes, tels que la courgette, les carottes et les aubergines. Il est également indispensable dans les sauces aux herbes comme le pesto, et sur les pizzas. Il peut être travaillé en infusion et par exemple remplacer la vanille dans une crème anglaise. Enfin, le basilic s'harmonise avec la sauge, l'ail, le romarin et le thym.
Le basilic frais se conserve un à deux jours au réfrigérateur en sachet de congélation ou dans du papier absorbant humide. Le basilic séché, conservé au frais et à l'abri de la lumière, se garde plusieurs mois. Il peut être congelé ou conservé dans du vinaigre ou de l'huile.","Je choisis le basilic avec des feuilles bien lisses, vertes et sans tâches.",,0.000,,Basilic - Au Pas De Courses,"Basilic - Pascal Bassard Primeur - La pièce - De la même famille que le romarin ou la sauge, le basilic est cultivée comme plante aromatique et condimentaire. L",,re::^MPB17-ARO,
